"Date","League","Team","Opp.","Venue","Phase","Coach","Opp. coach","OT/SO","PTS","Leading%","Tied%","Trailing%","TOI","GF","GA","G±","EQ TOI","EQ GF","EQ GA","EQ G±","PP OP","PP%","PP TOI","PP GF","PP GA","PP G±","SH SI","PK%","SH TOI","SH GF","SH GA","SH G±","SH%","SV%","PDO","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","SMF","SPF","SBF","SMA","SPA","SBA","FOW","FOL","FO%","# 0'","# 2'","# 5'","# 10'","# 20'","PIM","Spectators"
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000158' target='_blank'>2022-11-19</a>,National League,EHCK,EHCB,home,Regular Season,Tomlinson Jeff,Antti Törmänen,,3,61.31,21.39,17.31,60,5,2,3,47.8,3,1,2,7,28.57,8.8,2,0,2,3,66.67,3.4,0,1,-1,19.23,93.55,112.78,47,51,47.96,34,40,45.95,26,31,45.61,8,0,13,8,1,11,42,23,64.62,0,4,0,0,0,8,6532
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000149' target='_blank'>2022-11-18</a>,National League,EHCK,HCAP,away,Regular Season,Tomlinson Jeff,Luca Cereda,,0,0,4.75,95.25,60,2,6,-4,47.3,2,3,-1,4,0,6.4,0,0,0,5,40,6.3,0,3,-3,5.56,82.35,87.91,61,55,52.59,43,39,52.44,36,34,51.43,7,0,18,5,0,16,29,30,49.15,0,5,0,0,0,10,6541
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000147' target='_blank'>2022-11-05</a>,National League,EHCK,EVZ,away,Regular Season,Tomlinson Jeff,Dan Tangnes,,0,0,12.61,87.39,60,4,5,-1,50.5,3,4,-1,4,25,3.6,1,0,1,3,66.67,5.9,0,1,-1,13.79,88.37,102.17,56,79,41.48,39,61,39,29,43,40.28,8,2,17,18,0,18,25,38,39.68,0,4,0,0,0,8,7032
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000138' target='_blank'>2022-11-04</a>,National League,EHCK,HCL,home,Regular Season,Tomlinson Jeff,Luca Gianinazzi,,3,27.75,57.94,14.31,60,5,2,3,44.7,3,2,1,5,20,7.5,1,0,1,4,100,7.8,1,0,1,18.18,95.56,113.74,34,68,33.33,31,52,37.35,23,45,33.82,8,0,3,6,1,16,24,38,38.71,0,4,0,0,0,8,6754
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000129' target='_blank'>2022-11-01</a>,National League,EHCK,HCFG,home,Regular Season,Tomlinson Jeff,Christian Dubé,,3,1.11,68.83,30.06,60,3,1,2,52.2,3,1,2,3,0,4.9,0,0,0,2,100,2.9,0,0,0,7.14,97.06,104.2,58,48,54.72,43,42,50.59,29,34,46.03,13,1,15,7,1,6,25,25,50,0,2,0,0,0,4,5263
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000115' target='_blank'>2022-10-30</a>,National League,EHCK,HCD,home,Regular Season,Tomlinson Jeff,Christian Wohlwend,,3,78.36,21.64,0,60,5,2,3,45.3,3,1,2,7,28.57,11.1,2,0,2,4,75,3.6,0,1,-1,11.11,89.47,100.58,64,43,59.81,55,26,67.9,45,19,70.31,9,1,9,7,0,17,41,24,63.08,0,4,0,0,0,8,7438
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000121' target='_blank'>2022-10-29</a>,National League,EHCK,SCB,away,Regular Season,Tomlinson Jeff,Johan Lundskog,,3,72.78,27.22,0,60,5,2,3,48,3,1,2,5,20,5.7,1,0,1,4,75,6.3,1,1,0,17.86,94.12,111.97,57,69,45.24,40,53,43.01,28,34,45.16,12,0,17,17,2,16,28,32,46.67,0,5,0,0,0,10,14197
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000102' target='_blank'>2022-10-22</a>,National League,EHCK,ZSC,home,Regular Season,Tomlinson Jeff,Rikard Grönborg,,3,21.92,78.08,0,60,2,1,1,45.5,1,1,0,5,20,8.5,1,0,1,3,100,6,0,0,0,6.67,96.3,102.96,53,69,43.44,36,36,50,30,27,52.63,6,0,17,7,2,33,25,28,47.17,0,7,0,0,0,14,7312
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000096' target='_blank'>2022-10-21</a>,National League,EHCK,SCRJ,away,Regular Season,Tomlinson Jeff,Stefan Hedlund,,0,2.06,27.11,70.83,60,2,4,-2,53.1,2,2,0,2,0,2.7,0,0,0,4,50,4.3,0,2,-2,5.56,85.71,91.27,55,60,47.83,44,46,48.89,36,28,56.25,8,0,11,17,1,14,23,29,44.23,0,4,0,0,0,8,5869
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000087' target='_blank'>2022-10-18</a>,National League,EHCK,HCA,home,Regular Season,Tomlinson Jeff,Filip Pesan,SO,2,10.15,62.72,27.13,65,4,3,1,61,3,3,0,1,0,2,0,0,0,1,100,2,0,0,0,12,90.62,102.62,55,58,48.67,36,46,43.9,25,32,43.86,11,0,19,14,0,12,29,21,58,0,1,0,0,0,2,4674
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000082' target='_blank'>2022-10-15</a>,National League,EHCK,GSHC,away,Regular Season,Tomlinson Jeff,Jan Cadieux,,0,0,12.11,87.89,60,0,5,-5,51.7,0,4,-4,3,0,4.3,0,1,-1,2,100,4,0,0,0,0,80,80,43,49,46.74,25,34,42.37,20,25,44.44,4,1,18,8,1,15,18,25,41.86,0,4,0,0,0,8,5896
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000073' target='_blank'>2022-10-14</a>,National League,EHCK,SCLT,home,Regular Season,Tomlinson Jeff,Thierry Paterlini,,3,67.75,9.11,23.14,60,3,2,1,56.9,2,1,1,1,100,1.9,1,0,1,1,0,1.2,0,1,-1,11.11,93.1,104.21,48,54,47.06,36,35,50.7,27,29,48.21,9,0,12,6,0,19,29,32,47.54,0,2,0,0,0,4,5143
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000066' target='_blank'>2022-10-08</a>,National League,EHCK,EHCB,away,Regular Season,Tomlinson Jeff,Antti Törmänen,,0,0,10.25,89.75,60,2,6,-4,51.6,0,6,-6,3,66.67,4.4,2,0,2,2,100,4,0,0,0,10,77.78,87.78,37,49,43.02,27,38,41.54,20,27,42.55,7,0,10,11,0,11,23,27,46,0,2,0,0,0,4,5256
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000060' target='_blank'>2022-10-07</a>,National League,EHCK,HCAP,home,Regular Season,Tomlinson Jeff,Luca Cereda,,0,0,16.89,83.11,60,0,6,-6,48,0,6,-6,5,0,10,0,0,0,1,100,2,0,0,0,0,76.92,76.92,62,43,59.05,44,34,56.41,35,26,57.38,8,1,18,7,1,9,34,23,59.65,0,1,0,0,0,2,5821
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000054' target='_blank'>2022-10-01</a>,National League,EHCK,EVZ,home,Regular Season,Tomlinson Jeff,Dan Tangnes,,0,15.53,32.31,52.17,60,1,5,-4,48.3,1,3,-2,1,0,2,0,0,0,9,77.78,9.7,0,2,-2,5.26,87.8,93.07,31,79,28.18,24,62,27.91,19,41,31.67,5,0,7,18,3,17,23,29,44.23,1,7,0,0,0,14,5832
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000047' target='_blank'>2022-09-30</a>,National League,EHCK,HCL,away,Regular Season,Tomlinson Jeff,Chris McSorley,,3,41.58,37.44,20.97,60,5,4,1,44.6,1,3,-2,8,50,11.1,4,0,4,4,75,4.3,0,1,-1,16.13,87.5,103.63,65,53,55.08,44,44,50,31,32,49.21,13,0,21,11,1,9,23,35,39.66,0,5,0,0,0,10,4635
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000039' target='_blank'>2022-09-27</a>,National League,EHCK,HCFG,away,Regular Season,Tomlinson Jeff,Christian Dubé,,0,0,6.14,93.86,60,1,9,-8,45.3,0,6,-6,2,0,4,0,0,0,8,62.5,10.7,1,3,-2,3.85,77.5,81.35,44,73,37.61,33,49,40.24,26,40,39.39,7,0,11,6,3,24,25,29,46.3,0,8,0,0,0,16,8107
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000031' target='_blank'>2022-09-24</a>,National League,EHCK,SCB,home,Regular Season,Tomlinson Jeff,Johan Lundskog,OT,1,51.83,48.17,0,61.8,2,3,-1,48.3,1,1,0,3,33.33,4.5,1,0,1,5,60,9,0,2,-2,7.41,92.5,99.91,57,73,43.85,36,52,40.91,27,40,40.3,8,1,21,10,2,21,24,28,46.15,0,7,0,0,0,14,5642
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000024' target='_blank'>2022-09-23</a>,National League,EHCK,HCD,away,Regular Season,Tomlinson Jeff,Christian Wohlwend,,0,0,1.22,98.78,60,0,7,-7,40.5,0,3,-3,5,0,8.8,0,0,0,8,50,10.7,0,4,-4,0,84.09,84.09,49,73,40.16,39,63,38.24,26,44,37.14,13,0,10,19,0,10,31,24,56.36,0,9,0,0,0,18,3775
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000018' target='_blank'>2022-09-20</a>,National League,EHCK,LHC,home,Regular Season,Tomlinson Jeff,John Fust,SO,1,0,36.1,63.9,65,1,2,-1,47.1,1,0,1,5,0,10,0,0,0,5,80,7.9,0,1,-1,2.78,97.44,100.21,57,63,47.5,37,42,46.84,36,39,48,1,0,20,1,2,21,36,30,54.55,0,6,0,0,0,12,4406
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000004' target='_blank'>2022-09-18</a>,National League,EHCK,SCRJ,home,Regular Season,Tomlinson Jeff,Stefan Hedlund,,0,0,43.58,56.42,60,1,4,-3,45,0,3,-3,5,20,6.9,1,0,1,6,83.33,8.1,0,1,-1,3.12,90.91,94.03,61,70,46.56,36,43,45.57,32,34,48.48,4,0,25,8,1,27,24,34,41.38,0,7,0,0,0,14,5721
