Date,League,Team,Opp.,Phase,Coach,Opp. coach,OT/SO,PTS,Leading%,Tied%,Trailing%,TOI,GF,GA,G±,EQ TOI,EQ GF,EQ GA,EQ G±,PP OP,PP%,PP TOI,PP GF,PP GA,PP G±,SH SI,PK%,SH TOI,SH GF,SH GA,SH G±,SH%,SV%,PDO,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,SMF,SPF,SBF,SMA,SPA,SBA,FOW,FOL,FO%,# 0',# 2',# 5',# 10',# 20',PIM,Spectators,MatchID,Outcome,Moneyline,H1-1.5,H1-2.5,H2-1.5,H2+1.5,H2+2.5,TG,Both2Goals,OU4.5,OU5.5,OU6.5,OU7.5
2018-09-28,National League,EHCB,HCFG,Regular Season,Antti Törmänen,Mark French,,0.0,41.42,32.92,25.67,60.0,2,3,-1,45.5,2,3.0,-1.0,6.0,0.0,12.0,0,0.0,0.0,2.0,100.0,2.5,0,0,0,5.56,88.0,93.56,65.0,51,56.03,47,38.0,55.29,36,25,59.02,10.0,1.0,18.0,13,0,13.0,19,30,38.78,0,3,0,0,0.0,6.0,5710.0,20191105000019,-1,0,0,0,0,1,1,5,1,1,0,0,0
2018-09-28,National League,EVZ,HCD,Regular Season,Dan Tangnes,Arno Del Curto,,0.0,21.69,57.42,20.89,60.0,1,2,-1,49.9,1,2.0,-1.0,6.0,0.0,7.8,0,0.0,0.0,2.0,100.0,2.4,0,0,0,2.38,88.24,90.62,72.0,39,64.86,58,30.0,65.91,42,17,71.19,16.0,0.0,14.0,13,0,9.0,38,29,56.72,0,3,0,0,0.0,6.0,7157.0,20191105000024,-1,0,0,0,0,1,1,3,0,0,0,0,0
2018-09-28,National League,SCLT,HCAP,Regular Season,Heinz Ehlers,Luca Cereda,,0.0,0.0,54.31,45.69,60.0,0,2,-2,39.5,0,2.0,-2.0,8.0,0.0,14.5,0,0.0,0.0,3.0,100.0,6.0,0,0,0,0.0,90.0,90.0,64.0,36,64.0,42,28.0,60.0,29,20,59.18,13.0,0.0,22.0,8,0,8.0,36,17,67.92,0,3,0,0,0.0,6.0,5565.0,20191105000023,-1,0,0,0,1,1,1,2,0,0,0,0,0
2018-09-29,National League,SCB,EHCB,Regular Season,Kari Jalonen,Antti Törmänen,,0.0,0.0,27.97,72.03,60.0,2,5,-3,52.3,1,3.0,-2.0,2.0,50.0,3.2,1,0.0,1.0,3.0,33.33,4.5,0,2,-2,5.71,87.1,92.81,68.0,63,51.91,47,46.0,50.54,35,32,52.24,9.0,3.0,21.0,13,1,17.0,22,22,50.0,0,3,0,0,0.0,6.0,16522.0,20191105000026,-1,0,0,0,1,1,1,7,1,1,1,1,0
2018-09-29,National League,HCAP,GSHC,Regular Season,Luca Cereda,Chris McSorley,,3.0,48.31,45.92,5.78,60.0,4,2,2,49.4,3,0.0,3.0,3.0,0.0,6.0,0,0.0,0.0,3.0,33.33,4.6,1,2,-1,10.0,92.0,102.0,50.0,51,49.5,43,35.0,55.13,31,25,55.36,12.0,0.0,7.0,10,0,16.0,26,38,40.62,0,3,0,0,0.0,6.0,4582.0,20191105000025,1,1,1,0,0,0,1,6,1,1,1,0,0
2018-09-29,National League,HCD,SCLT,Regular Season,Arno Del Curto,Heinz Ehlers,,0.0,0.0,9.19,90.81,60.0,0,7,-7,52.0,0,7.0,-7.0,3.0,0.0,6.0,0,0.0,0.0,1.0,100.0,2.0,0,0,0,0.0,79.41,79.41,61.0,61,50.0,39,43.0,47.56,26,34,43.33,11.0,2.0,22.0,9,0,18.0,36,22,62.07,0,1,0,0,0.0,2.0,4404.0,20191105000027,-1,0,0,0,1,1,1,7,0,1,1,1,0
2018-09-29,National League,HCFG,SCRJ,Regular Season,Mark French,Jeff Tomlinson,,3.0,70.94,29.06,0.0,60.0,3,2,1,53.0,2,2.0,0.0,1.0,100.0,1.0,1,0.0,1.0,3.0,100.0,6.0,0,0,0,8.57,92.59,101.16,56.0,49,53.33,45,39.0,53.57,35,27,56.45,10.0,0.0,11.0,11,1,10.0,39,30,56.52,0,3,0,0,0.0,6.0,5570.0,20191105000028,1,1,0,0,0,1,1,5,1,1,0,0,0
2018-09-30,National League,LHC,EVZ,Regular Season,Ville Peltonen,Dan Tangnes,,3.0,72.92,27.08,0.0,60.0,4,2,2,49.8,3,2.0,1.0,5.0,20.0,8.2,1,0.0,1.0,1.0,100.0,2.0,0,0,0,13.33,93.75,107.08,65.0,62,51.18,50,42.0,54.35,30,32,48.39,19.0,1.0,15.0,10,0,20.0,27,32,45.76,0,1,0,0,0.0,2.0,6226.0,20191105000029,1,1,1,0,0,0,1,6,1,1,1,0,0
2018-10-02,National League,HCL,HCAP,Regular Season,Greg Ireland,Luca Cereda,,3.0,92.33,7.67,0.0,60.0,6,2,4,46.0,6,1.0,5.0,3.0,0.0,6.0,0,0.0,0.0,5.0,80.0,8.0,0,1,-1,23.08,94.87,117.95,45.0,56,44.55,38,47.0,44.71,26,39,40.0,11.0,1.0,7.0,8,0,9.0,28,29,49.12,0,6,0,0,0.0,12.0,7200.0,20191105000034,1,1,1,1,0,0,0,8,1,1,1,1,1
2018-10-02,National League,EVZ,ZSC,Regular Season,Dan Tangnes,Serge Aubin,,0.0,0.0,8.03,91.97,60.0,0,3,-3,45.5,0,3.0,-3.0,4.0,0.0,7.2,0,0.0,0.0,4.0,100.0,7.2,0,0,0,0.0,93.33,93.33,67.0,68,49.63,40,52.0,43.48,23,31,42.59,17.0,0.0,27.0,20,1,16.0,20,34,37.04,0,4,0,0,0.0,8.0,6844.0,20191105000036,-1,0,0,0,1,1,1,3,0,0,0,0,0
2018-10-02,National League,SCRJ,LHC,Regular Season,Jeff Tomlinson,Ville Peltonen,,3.0,0.61,46.92,52.47,60.0,2,1,1,46.0,1,1.0,0.0,3.0,33.33,6.0,1,0.0,1.0,4.0,100.0,8.0,0,0,0,8.0,97.14,105.14,50.0,58,46.3,35,44.0,44.3,25,35,41.67,9.0,1.0,15.0,8,1,14.0,31,29,51.67,0,4,0,0,0.0,8.0,3286.0,20191105000033,1,1,0,0,0,1,1,3,0,0,0,0,0
2018-10-02,National League,HCD,HCFG,Regular Season,Arno Del Curto,Mark French,,0.0,0.0,1.72,98.28,60.0,2,5,-3,53.3,0,4.0,-4.0,4.0,50.0,5.5,2,0.0,2.0,1.0,0.0,1.2,0,1,-1,5.26,82.14,87.41,65.0,61,51.59,48,48.0,50.0,38,28,57.58,10.0,0.0,17.0,20,0,13.0,25,23,52.08,0,1,0,0,0.0,2.0,3856.0,20191105000031,-1,0,0,0,1,1,1,7,1,1,1,1,0
2018-10-02,National League,SCLT,EHCB,Regular Season,Heinz Ehlers,Antti Törmänen,,0.0,2.78,37.19,60.03,60.0,3,5,-2,48.1,0,3.0,-3.0,3.0,66.67,2.9,2,0.0,2.0,7.0,71.43,9.1,1,2,-1,14.29,80.0,94.29,53.0,48,52.48,33,39.0,45.83,21,25,45.65,11.0,1.0,20.0,13,1,9.0,22,21,51.16,0,7,1,1,1.0,49.0,5494.0,20191105000035,-1,0,0,0,1,1,1,8,1,1,1,1,1
2018-10-03,National League,GSHC,SCB,Regular Season,Chris McSorley,Kari Jalonen,,3.0,43.39,56.61,0.0,60.0,3,1,2,54.0,3,1.0,2.0,2.0,0.0,4.0,0,0.0,0.0,1.0,100.0,2.0,0,0,0,6.06,96.67,102.73,63.0,55,53.39,46,45.0,50.55,34,30,53.12,11.0,1.0,17.0,15,0,10.0,26,22,54.17,0,1,0,0,0.0,2.0,5079.0,20191105000032,1,1,1,0,0,0,1,4,0,0,0,0,0
2018-10-04,National League,ZSC,HCAP,Regular Season,Serge Aubin,Luca Cereda,OT,2.0,21.82,62.8,15.38,60.4,4,3,1,48.1,2,3.0,-1.0,5.0,40.0,6.7,2,0.0,2.0,3.0,100.0,5.6,0,0,0,11.43,90.0,101.43,58.0,53,52.25,49,41.0,54.44,35,30,53.85,13.0,1.0,9.0,11,0,12.0,27,26,50.94,0,4,0,1,0.0,18.0,8502.0,20191105000048,0,1,0,0,0,1,1,7,1,1,1,1,0
